__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2024-04-05,GOLD         ,05APR2024,69840.0,70899.0,69649.0,70189.0,70037.0,15,15.000 GRMS ,1050.71,17,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2024-04-04,GOLD         ,05APR2024,70100.0,70275.0,69750.0,70037.0,69778.0,96,96.000 GRMS ,6711.54,24,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2024-04-03,GOLD         ,05APR2024,69475.0,69999.0,69182.0,69778.0,68983.0,142,142.000 GRMS ,9857.7,130,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2024-04-02,GOLD         ,05APR2024,68700.0,69180.0,68545.0,68983.0,68289.0,80,80.000 GRMS ,5505.22,226,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2024-04-01,GOLD         ,05APR2024,68699.0,69487.0,68021.0,68289.0,67677.0,688,688.000 GRMS ,47261.67,284,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2024-03-28,GOLD         ,05APR2024,66497.0,67850.0,66428.0,67677.0,66367.0,6592,6592.000 GRMS ,441238.28,787,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2024-03-27,GOLD         ,05APR2024,66198.0,66499.0,66018.0,66367.0,66114.0,4701,4701.000 GRMS ,311536.07,3812,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2024-03-26,GOLD         ,05APR2024,65949.0,66439.0,65880.0,66114.0,66022.0,5983,5983.000 GRMS ,395558.89,6055,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2024-03-25,GOLD         ,05APR2024,65858.0,66242.0,65858.0,66022.0,65858.0,2268,2268.000 GRMS ,149921.19,7807,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2024-03-22,GOLD         ,05APR2024,66057.0,66301.0,65810.0,65858.0,66189.0,6614,6614.000 GRMS ,436704.11,8453,,FUTCOM,0.0,-
