__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2025-10-03,GOLD         ,03OCT2025,116437.0,117520.0,115869.0,117367.0,116782.0,49,49.000 GRMS ,5724.24,103,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-10-01,GOLD         ,03OCT2025,116890.0,116994.0,116434.0,116782.0,115866.0,25,25.000 GRMS ,2919.18,129,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-30,GOLD         ,03OCT2025,116517.0,116900.0,114780.0,115866.0,115448.0,198,198.000 GRMS ,22951.77,209,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-29,GOLD         ,03OCT2025,114300.0,115595.0,114300.0,115448.0,113788.0,506,506.000 GRMS ,58191.5,420,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-26,GOLD         ,03OCT2025,112625.0,113940.0,112511.0,113788.0,112629.0,3473,3473.000 GRMS ,392558.88,914,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-25,GOLD         ,03OCT2025,112469.0,113250.0,112182.0,112629.0,112555.0,10538,10538.000 GRMS ,1187523.85,3349,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-24,GOLD         ,03OCT2025,113500.0,113838.0,112504.0,112555.0,113836.0,9066,9066.000 GRMS ,1027514.98,6536,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-23,GOLD         ,03OCT2025,112200.0,114179.0,112174.0,113836.0,112230.0,16731,16731.000 GRMS ,1899319.31,8852,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-22,GOLD         ,03OCT2025,110402.0,112295.0,110202.0,112230.0,109847.0,12617,12617.000 GRMS ,1405022.48,10711,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-19,GOLD         ,03OCT2025,109254.0,109910.0,109066.0,109847.0,109052.0,7902,7902.000 GRMS ,864866.69,12069,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-18,GOLD         ,03OCT2025,109180.0,109802.0,108690.0,109052.0,109822.0,12496,12496.000 GRMS ,1364612.5,12588,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-17,GOLD         ,03OCT2025,109956.0,109956.0,109180.0,109822.0,110156.0,8892,8892.000 GRMS ,974442.88,13908,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-16,GOLD         ,03OCT2025,110277.0,110666.0,110000.0,110156.0,110179.0,9357,9357.000 GRMS ,1032427.41,14394,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-15,GOLD         ,03OCT2025,109255.0,110330.0,108900.0,110179.0,109370.0,9649,9649.000 GRMS ,1056524.69,15570,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-12,GOLD         ,03OCT2025,109352.0,109656.0,109122.0,109370.0,108981.0,7077,7077.000 GRMS ,774037.13,15962,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-11,GOLD         ,03OCT2025,108705.0,109186.0,108563.0,108981.0,108986.0,11606,11606.000 GRMS ,1262902.0,16588,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-10,GOLD         ,03OCT2025,108744.0,109356.0,108668.0,108986.0,109033.0,8966,8966.000 GRMS ,977658.49,17009,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-09,GOLD         ,03OCT2025,108947.0,109840.0,108600.0,109033.0,108518.0,14266,14266.000 GRMS ,1557243.39,17731,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-08,GOLD         ,03OCT2025,107456.0,108732.0,107101.0,108518.0,107728.0,11541,11541.000 GRMS ,1246230.39,18183,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-05,GOLD         ,03OCT2025,106676.0,107807.0,106600.0,107728.0,106417.0,11160,11160.000 GRMS ,1197472.87,18445,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-04,GOLD         ,03OCT2025,106500.0,106823.0,105800.0,106417.0,107195.0,9939,9939.000 GRMS ,1056194.01,18078,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-03,GOLD         ,03OCT2025,106199.0,107226.0,105852.0,107195.0,105792.0,11432,11432.000 GRMS ,1216911.77,18953,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-02,GOLD         ,03OCT2025,104850.0,105915.0,104558.0,105792.0,104785.0,14752,14752.000 GRMS ,1552055.21,17641,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-09-01,GOLD         ,03OCT2025,104044.0,105937.0,104044.0,104785.0,103824.0,8909,8909.000 GRMS ,934409.14,16954,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-08-29,GOLD         ,03OCT2025,102146.0,104090.0,102069.0,103824.0,102100.0,16915,16915.000 GRMS ,1745221.25,16774,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-08-28,GOLD         ,03OCT2025,101450.0,102125.0,101334.0,102100.0,101542.0,9341,9341.000 GRMS ,950202.07,15887,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-08-27,GOLD         ,03OCT2025,100858.0,101612.0,100858.0,101542.0,101089.0,4316,4316.000 GRMS ,437335.92,14224,,FUTCOM,0.0,-
