__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2021-10-05,GOLD         ,05OCT2021,46535.0,46535.0,46354.0,46293.0,46286.0,5,5.000 GRMS ,232.25,3,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-10-04,GOLD         ,05OCT2021,0.0,0.0,0.0,46286.0,46286.0,0,0.000 GRMS ,0.0,9,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-10-01,GOLD         ,05OCT2021,46295.0,46332.0,46155.0,46286.0,46323.0,53,53.000 GRMS ,2452.3,42,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-30,GOLD         ,05OCT2021,45650.0,46436.0,45479.0,46323.0,45585.0,110,110.000 GRMS ,5040.84,345,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-29,GOLD         ,05OCT2021,45963.0,45980.0,45511.0,45585.0,45853.0,3224,3224.000 GRMS ,147663.16,497,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-28,GOLD         ,05OCT2021,46071.0,46071.0,45688.0,45853.0,46069.0,8248,8248.000 GRMS ,378507.52,2262,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-27,GOLD         ,05OCT2021,46036.0,46220.0,45902.0,46069.0,45995.0,6386,6386.000 GRMS ,294148.87,3891,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-24,GOLD         ,05OCT2021,46075.0,46132.0,45787.0,45995.0,46056.0,6502,6502.000 GRMS ,298992.39,5453,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-23,GOLD         ,05OCT2021,46439.0,46534.0,45940.0,46056.0,46672.0,7561,7561.000 GRMS ,349440.02,6575,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-22,GOLD         ,05OCT2021,46651.0,46762.0,46556.0,46672.0,46638.0,4149,4149.000 GRMS ,193614.64,6797,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-21,GOLD         ,05OCT2021,46210.0,46799.0,46130.0,46638.0,46278.0,7091,7091.000 GRMS ,329388.46,7038,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-20,GOLD         ,05OCT2021,45930.0,46375.0,45880.0,46278.0,45986.0,6697,6697.000 GRMS ,308868.59,7958,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-17,GOLD         ,05OCT2021,46100.0,46239.0,45853.0,45986.0,46076.0,6346,6346.000 GRMS ,292243.07,9013,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-16,GOLD         ,05OCT2021,46880.0,46917.0,45812.0,46076.0,46896.0,10012,10012.000 GRMS ,464074.58,9280,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-15,GOLD         ,05OCT2021,47185.0,47264.0,46868.0,46896.0,47260.0,6329,6329.000 GRMS ,297833.38,8237,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-14,GOLD         ,05OCT2021,46868.0,47320.0,46620.0,47260.0,46908.0,10045,10045.000 GRMS ,472062.83,8394,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-13,GOLD         ,05OCT2021,46927.0,47043.0,46766.0,46908.0,46806.0,5378,5378.000 GRMS ,252196.72,9226,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-10,GOLD         ,05OCT2021,46900.0,46986.0,46751.0,46806.0,46994.0,2449,2449.000 GRMS ,114758.69,9956,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-09,GOLD         ,05OCT2021,46938.0,47082.0,46713.0,46994.0,47038.0,7170,7170.000 GRMS ,336344.2,9971,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-08,GOLD         ,05OCT2021,46961.0,47140.0,46750.0,47038.0,46939.0,5815,5815.000 GRMS ,273342.98,10087,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-07,GOLD         ,05OCT2021,47402.0,47435.0,46864.0,46939.0,47425.0,7182,7182.000 GRMS ,338746.0,10556,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-06,GOLD         ,05OCT2021,47433.0,47497.0,47365.0,47425.0,47524.0,3200,3200.000 GRMS ,151771.34,10109,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-03,GOLD         ,05OCT2021,47095.0,47598.0,47035.0,47524.0,46991.0,8418,8418.000 GRMS ,398262.05,10178,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-02,GOLD         ,05OCT2021,47049.0,47208.0,46900.0,46991.0,47068.0,4274,4274.000 GRMS ,201167.15,11172,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-09-01,GOLD         ,05OCT2021,47129.0,47276.0,46980.0,47068.0,47120.0,5340,5340.000 GRMS ,251638.07,11109,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-31,GOLD         ,05OCT2021,47299.0,47332.0,46776.0,47120.0,47164.0,6846,6846.000 GRMS ,322261.07,11461,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-30,GOLD         ,05OCT2021,47438.0,47494.0,47145.0,47164.0,47538.0,4716,4716.000 GRMS ,223111.64,11268,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-27,GOLD         ,05OCT2021,47300.0,47582.0,46820.0,47538.0,47237.0,10579,10579.000 GRMS ,499657.48,11315,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-26,GOLD         ,05OCT2021,47181.0,47380.0,46934.0,47237.0,47179.0,6287,6287.000 GRMS ,296468.79,11391,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-25,GOLD         ,05OCT2021,47435.0,47482.0,47080.0,47179.0,47612.0,7144,7144.000 GRMS ,337866.04,11590,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-24,GOLD         ,05OCT2021,47515.0,47731.0,47472.0,47612.0,47584.0,5069,5069.000 GRMS ,241286.54,11890,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-23,GOLD         ,05OCT2021,47215.0,47625.0,47149.0,47584.0,47158.0,5778,5778.000 GRMS ,273826.09,11986,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-20,GOLD         ,05OCT2021,47250.0,47377.0,47065.0,47158.0,47169.0,5259,5259.000 GRMS ,248356.02,12045,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-19,GOLD         ,05OCT2021,47211.0,47850.0,47073.0,47169.0,47132.0,4000,4000.000 GRMS ,189107.46,12240,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-18,GOLD         ,05OCT2021,47374.0,47437.0,47026.0,47132.0,47280.0,6340,6340.000 GRMS ,299540.34,12129,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-17,GOLD         ,05OCT2021,47235.0,47549.0,47183.0,47280.0,47225.0,6999,6999.000 GRMS ,331502.78,12096,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-16,GOLD         ,05OCT2021,46950.0,47280.0,46816.0,47225.0,46940.0,5380,5380.000 GRMS ,253055.67,12731,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-13,GOLD         ,05OCT2021,46452.0,46996.0,46416.0,46940.0,46363.0,6473,6473.000 GRMS ,302249.86,12485,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-12,GOLD         ,05OCT2021,46300.0,46581.0,46151.0,46363.0,46388.0,6431,6431.000 GRMS ,298172.84,13232,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-11,GOLD         ,05OCT2021,46011.0,46446.0,45925.0,46388.0,45962.0,7073,7073.000 GRMS ,326501.1,13261,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-10,GOLD         ,05OCT2021,46000.0,46112.0,45662.0,45962.0,45886.0,6321,6321.000 GRMS ,290437.43,13805,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-09,GOLD         ,05OCT2021,46311.0,46386.0,45815.0,45886.0,46640.0,9648,9648.000 GRMS ,444751.49,13673,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-06,GOLD         ,05OCT2021,47500.0,47574.0,46556.0,46640.0,47603.0,10803,10803.000 GRMS ,508448.26,13741,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-05,GOLD         ,05OCT2021,47847.0,47940.0,47503.0,47603.0,47892.0,6749,6749.000 GRMS ,322123.6,12815,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-04,GOLD         ,05OCT2021,47920.0,48358.0,47766.0,47892.0,47864.0,9064,9064.000 GRMS ,435121.18,12247,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-03,GOLD         ,05OCT2021,47935.0,47990.0,47814.0,47864.0,48086.0,4780,4780.000 GRMS ,228904.0,12599,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-08-02,GOLD         ,05OCT2021,47951.0,48150.0,47816.0,48086.0,48001.0,5348,5348.000 GRMS ,256468.95,12605,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-30,GOLD         ,05OCT2021,48392.0,48475.0,47960.0,48001.0,48396.0,6091,6091.000 GRMS ,293933.77,12417,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-29,GOLD         ,05OCT2021,47848.0,48420.0,47848.0,48396.0,47714.0,5809,5809.000 GRMS ,279904.97,12395,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-28,GOLD         ,05OCT2021,47845.0,47869.0,47540.0,47714.0,47779.0,2507,2507.000 GRMS ,119593.05,11695,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-27,GOLD         ,05OCT2021,47642.0,47824.0,47526.0,47779.0,47620.0,2400,2400.000 GRMS ,114470.59,11223,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-26,GOLD         ,05OCT2021,47895.0,48028.0,47600.0,47620.0,47784.0,2312,2312.000 GRMS ,110537.6,10221,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-23,GOLD         ,05OCT2021,47841.0,47981.0,47515.0,47784.0,47932.0,1453,1453.000 GRMS ,69435.97,9405,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-22,GOLD         ,05OCT2021,47786.0,47983.0,47605.0,47932.0,47876.0,1127,1127.000 GRMS ,53873.17,8951,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-21,GOLD         ,05OCT2021,48020.0,48020.0,47780.0,47876.0,48138.0,696,696.000 GRMS ,33334.45,8684,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-20,GOLD         ,05OCT2021,48500.0,48583.0,48050.0,48138.0,48360.0,1487,1487.000 GRMS ,71925.03,8381,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-19,GOLD         ,05OCT2021,48350.0,48522.0,48062.0,48360.0,48285.0,1223,1223.000 GRMS ,59096.14,8225,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-16,GOLD         ,05OCT2021,48655.0,48655.0,48232.0,48285.0,48675.0,1213,1213.000 GRMS ,58810.72,7711,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-15,GOLD         ,05OCT2021,48548.0,48795.0,48435.0,48675.0,48578.0,1242,1242.000 GRMS ,60389.07,7266,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-14,GOLD         ,05OCT2021,48255.0,48650.0,48226.0,48578.0,48166.0,1207,1207.000 GRMS ,58436.18,7156,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-13,GOLD         ,05OCT2021,48122.0,48355.0,48014.0,48166.0,48047.0,863,863.000 GRMS ,41579.38,6697,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-12,GOLD         ,05OCT2021,47996.0,48125.0,47756.0,48047.0,48158.0,946,946.000 GRMS ,45389.19,6368,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-09,GOLD         ,05OCT2021,48176.0,48191.0,47920.0,48158.0,48036.0,900,900.000 GRMS ,43260.98,5990,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-08,GOLD         ,05OCT2021,48011.0,48574.0,47910.0,48036.0,48144.0,1161,1161.000 GRMS ,55984.63,5589,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-07-07,GOLD         ,05OCT2021,48063.0,48300.0,47966.0,48144.0,47996.0,799,799.000 GRMS ,38468.63,5269,,FUTCOM,0.0,-
