__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2022-02-04,GOLD         ,04FEB2022,47000.0,48025.0,47000.0,47989.0,47849.0,12,12.000 GRMS ,573.09,33,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-02-03,GOLD         ,04FEB2022,48099.0,48099.0,47517.0,47849.0,47922.0,18,18.000 GRMS ,862.08,85,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-02-02,GOLD         ,04FEB2022,47850.0,48046.0,47692.0,47922.0,47965.0,42,42.000 GRMS ,2011.39,130,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-02-01,GOLD         ,04FEB2022,47736.0,48099.0,47581.0,47965.0,47686.0,130,130.000 GRMS ,6224.82,134,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-31,GOLD         ,04FEB2022,47590.0,47802.0,47499.0,47686.0,47611.0,720,720.000 GRMS ,34307.26,258,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-28,GOLD         ,04FEB2022,47950.0,48000.0,47479.0,47611.0,47910.0,3498,3498.000 GRMS ,166916.49,821,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-27,GOLD         ,04FEB2022,48550.0,48550.0,47853.0,47910.0,48851.0,5961,5961.000 GRMS ,287209.32,1667,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-25,GOLD         ,04FEB2022,48608.0,48912.0,48540.0,48851.0,48564.0,4577,4577.000 GRMS ,222878.54,2353,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-24,GOLD         ,04FEB2022,48323.0,48600.0,48300.0,48564.0,48249.0,5208,5208.000 GRMS ,252470.77,2881,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-21,GOLD         ,04FEB2022,48390.0,48523.0,48153.0,48249.0,48380.0,4042,4042.000 GRMS ,195407.35,3546,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-20,GOLD         ,04FEB2022,48379.0,48557.0,48310.0,48380.0,48377.0,3669,3669.000 GRMS ,177648.04,4256,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-19,GOLD         ,04FEB2022,47949.0,48416.0,47911.0,48377.0,47926.0,5692,5692.000 GRMS ,273889.45,4739,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-18,GOLD         ,04FEB2022,47950.0,48047.0,47780.0,47926.0,47917.0,5078,5078.000 GRMS ,243341.89,5485,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-17,GOLD         ,04FEB2022,47835.0,47965.0,47803.0,47917.0,47778.0,2405,2405.000 GRMS ,115206.32,5880,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-14,GOLD         ,04FEB2022,47841.0,47993.0,47756.0,47778.0,47736.0,4284,4284.000 GRMS ,205162.02,6044,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-13,GOLD         ,04FEB2022,47804.0,47917.0,47650.0,47736.0,47808.0,3746,3746.000 GRMS ,179062.16,6329,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-12,GOLD         ,04FEB2022,47682.0,47843.0,47628.0,47808.0,47689.0,3841,3841.000 GRMS ,183462.95,6379,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-11,GOLD         ,04FEB2022,47589.0,47700.0,47460.0,47689.0,47455.0,4485,4485.000 GRMS ,213349.58,6889,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-10,GOLD         ,04FEB2022,47394.0,47499.0,47301.0,47455.0,47452.0,4386,4386.000 GRMS ,207857.92,7672,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-07,GOLD         ,04FEB2022,47370.0,47586.0,47300.0,47452.0,47451.0,4512,4512.000 GRMS ,213939.1,7974,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-06,GOLD         ,04FEB2022,47768.0,47865.0,47400.0,47451.0,48021.0,7900,7900.000 GRMS ,376084.98,8043,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-05,GOLD         ,04FEB2022,47982.0,48169.0,47851.0,48021.0,47949.0,4663,4663.000 GRMS ,223856.07,7710,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-04,GOLD         ,04FEB2022,47810.0,47997.0,47740.0,47949.0,47716.0,4714,4714.000 GRMS ,225623.22,7879,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-01-03,GOLD         ,04FEB2022,48050.0,48130.0,47691.0,47716.0,48099.0,6654,6654.000 GRMS ,318805.93,8385,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-12-31,GOLD         ,04FEB2022,47946.0,48134.0,47795.0,48099.0,47885.0,4276,4276.000 GRMS ,205174.07,8603,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-12-30,GOLD         ,04FEB2022,47800.0,47899.0,47579.0,47885.0,47839.0,4381,4381.000 GRMS ,209123.32,8514,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-12-29,GOLD         ,04FEB2022,48002.0,48012.0,47577.0,47839.0,48042.0,6374,6374.000 GRMS ,304804.83,8595,,FUTCOM,0.0,-
