__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2019-10-04,GOLD         ,04OCT2019,37925.0,38350.0,37837.0,37757.0,37990.0,46,46.000 GRMS ,1751.2,142,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-10-03,GOLD         ,04OCT2019,37825.0,38099.0,37735.0,37990.0,37311.0,128,128.000 GRMS ,4839.32,219,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-10-01,GOLD         ,04OCT2019,37003.0,37513.0,36771.0,37311.0,36913.0,1468,1468.000 GRMS ,54461.26,903,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-30,GOLD         ,04OCT2019,37550.0,37640.0,36832.0,36913.0,37750.0,8647,8647.000 GRMS ,322500.75,1474,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-27,GOLD         ,04OCT2019,37753.0,37836.0,37310.0,37750.0,37794.0,15488,15488.000 GRMS ,582027.66,3304,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-26,GOLD         ,04OCT2019,37688.0,37849.0,37452.0,37794.0,37602.0,15443,15443.000 GRMS ,581271.28,4945,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-25,GOLD         ,04OCT2019,38072.0,38194.0,37485.0,37602.0,38108.0,15538,15538.000 GRMS ,589511.89,6420,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-24,GOLD         ,04OCT2019,37825.0,38190.0,37770.0,38108.0,37924.0,14288,14288.000 GRMS ,542006.28,7082,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-23,GOLD         ,04OCT2019,37800.0,37974.0,37731.0,37924.0,37697.0,12085,12085.000 GRMS ,457540.78,7328,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-20,GOLD         ,04OCT2019,37714.0,37750.0,37438.0,37697.0,37686.0,12820,12820.000 GRMS ,481557.91,8099,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-19,GOLD         ,04OCT2019,37756.0,37787.0,37532.0,37686.0,37849.0,13394,13394.000 GRMS ,504239.02,9111,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-18,GOLD         ,04OCT2019,37946.0,37965.0,37734.0,37849.0,38016.0,13055,13055.000 GRMS ,494170.77,9947,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-17,GOLD         ,04OCT2019,38050.0,38179.0,37861.0,38016.0,38180.0,14942,14942.000 GRMS ,568358.63,10322,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-16,GOLD         ,04OCT2019,37774.0,38215.0,37774.0,38180.0,37524.0,14948,14948.000 GRMS ,568521.76,10566,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-13,GOLD         ,04OCT2019,37728.0,37892.0,37449.0,37524.0,37750.0,15761,15761.000 GRMS ,594170.27,10969,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-12,GOLD         ,04OCT2019,37898.0,38228.0,37662.0,37750.0,37974.0,22439,22439.000 GRMS ,850860.66,11116,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-11,GOLD         ,04OCT2019,38207.0,38259.0,37930.0,37974.0,38253.0,19746,19746.000 GRMS ,752564.43,12695,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-10,GOLD         ,04OCT2019,38355.0,38495.0,38205.0,38253.0,38472.0,10771,10771.000 GRMS ,412674.6,13893,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-09,GOLD         ,04OCT2019,38553.0,38697.0,38272.0,38472.0,38553.0,17760,17760.000 GRMS ,683598.52,14133,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-06,GOLD         ,04OCT2019,38800.0,38978.0,38376.0,38553.0,38894.0,22365,22365.000 GRMS ,864424.36,14523,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-05,GOLD         ,04OCT2019,39582.0,39628.0,38514.0,38894.0,39823.0,22365,22365.000 GRMS ,876577.75,15302,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-04,GOLD         ,04OCT2019,39651.0,39885.0,39358.0,39823.0,39680.0,18670,18670.000 GRMS ,738894.6,16867,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-03,GOLD         ,04OCT2019,38915.0,39740.0,38898.0,39680.0,39087.0,20764,20764.000 GRMS ,817652.23,16765,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-09-02,GOLD         ,04OCT2019,38859.0,39119.0,38846.0,39087.0,38656.0,5783,5783.000 GRMS ,225293.88,17121,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-30,GOLD         ,04OCT2019,38650.0,38948.0,38611.0,38656.0,38803.0,15836,15836.000 GRMS ,613909.89,16839,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-29,GOLD         ,04OCT2019,39180.0,39425.0,38675.0,38803.0,39165.0,19968,19968.000 GRMS ,781042.56,16860,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-28,GOLD         ,04OCT2019,38947.0,39290.0,38861.0,39165.0,39044.0,15767,15767.000 GRMS ,616503.75,16947,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-27,GOLD         ,04OCT2019,38797.0,39084.0,38713.0,39044.0,38828.0,16109,16109.000 GRMS ,626285.91,16953,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-26,GOLD         ,04OCT2019,39134.0,39340.0,38800.0,38828.0,38765.0,19715,19715.000 GRMS ,769428.29,17127,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-23,GOLD         ,04OCT2019,38052.0,38821.0,37960.0,38765.0,38165.0,19262,19262.000 GRMS ,738003.09,17689,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-22,GOLD         ,04OCT2019,37950.0,38220.0,37916.0,38165.0,37993.0,14091,14091.000 GRMS ,536420.55,17394,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-21,GOLD         ,04OCT2019,37903.0,38041.0,37814.0,37993.0,38004.0,12255,12255.000 GRMS ,464642.79,17171,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-20,GOLD         ,04OCT2019,37750.0,38077.0,37678.0,38004.0,37823.0,15154,15154.000 GRMS ,574498.83,17150,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-19,GOLD         ,04OCT2019,37737.0,37888.0,37605.0,37823.0,37938.0,15663,15663.000 GRMS ,591262.03,17374,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-16,GOLD         ,04OCT2019,38143.0,38220.0,37705.0,37938.0,38163.0,14758,14758.000 GRMS ,559793.31,18359,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-14,GOLD         ,04OCT2019,37788.0,38340.0,37693.0,38163.0,37775.0,18587,18587.000 GRMS ,707222.15,18931,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-13,GOLD         ,04OCT2019,38449.0,38666.0,37344.0,37775.0,38241.0,23670,23670.000 GRMS ,904023.96,19011,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-12,GOLD         ,04OCT2019,38257.0,38349.0,38152.0,38241.0,37992.0,5250,5250.000 GRMS ,200755.47,19967,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-09,GOLD         ,04OCT2019,37976.0,38148.0,37815.0,37992.0,37757.0,13013,13013.000 GRMS ,493881.84,19749,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-08,GOLD         ,04OCT2019,37994.0,38090.0,37624.0,37757.0,38218.0,15113,15113.000 GRMS ,571836.84,19689,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-07,GOLD         ,04OCT2019,37830.0,38488.0,37613.0,38218.0,37497.0,25090,25090.000 GRMS ,953171.04,19935,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-06,GOLD         ,04OCT2019,37327.0,37530.0,36921.0,37497.0,37345.0,17110,17110.000 GRMS ,636854.87,20470,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-05,GOLD         ,04OCT2019,36650.0,37437.0,36630.0,37345.0,36271.0,23151,23151.000 GRMS ,857720.92,20969,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-02,GOLD         ,04OCT2019,35790.0,36327.0,35729.0,36271.0,35633.0,19422,19422.000 GRMS ,699892.94,21613,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-08-01,GOLD         ,04OCT2019,35250.0,35911.0,35025.0,35633.0,35419.0,17542,17542.000 GRMS ,618214.51,20667,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-31,GOLD         ,04OCT2019,35365.0,35523.0,35320.0,35419.0,35403.0,11887,11887.000 GRMS ,420933.41,21388,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-30,GOLD         ,04OCT2019,35410.0,35590.0,35170.0,35403.0,35383.0,13042,13042.000 GRMS ,462163.14,19522,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-29,GOLD         ,04OCT2019,35406.0,35441.0,35300.0,35383.0,35377.0,3434,3434.000 GRMS ,121466.18,17723,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-26,GOLD         ,04OCT2019,35413.0,35480.0,35289.0,35377.0,35407.0,2699,2699.000 GRMS ,95528.77,17111,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-25,GOLD         ,04OCT2019,35515.0,35739.0,35360.0,35407.0,35594.0,4828,4828.000 GRMS ,171649.43,16377,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-24,GOLD         ,04OCT2019,35585.0,35670.0,35465.0,35594.0,35563.0,2809,2809.000 GRMS ,99951.52,15931,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-23,GOLD         ,04OCT2019,35562.0,35718.0,35450.0,35563.0,35722.0,3208,3208.000 GRMS ,114081.94,15318,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-22,GOLD         ,04OCT2019,35695.0,35764.0,35636.0,35722.0,35610.0,1383,1383.000 GRMS ,49361.57,15182,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-19,GOLD         ,04OCT2019,35930.0,36009.0,35582.0,35610.0,35711.0,4038,4038.000 GRMS ,144773.11,15030,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2019-07-18,GOLD         ,04OCT2019,35519.0,35743.0,35425.0,35711.0,35583.0,3784,3784.000 GRMS ,134580.03,14731,,FUTCOM,0.0,-
