__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2022-04-05,GOLD         ,05APR2022,51304.0,51670.0,51160.0,51342.0,51266.0,25,25.000 GRMS ,1282.9,43,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-04-04,GOLD         ,05APR2022,51224.0,51350.0,51200.0,51266.0,51344.0,22,22.000 GRMS ,1127.42,62,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-04-01,GOLD         ,05APR2022,51480.0,51551.0,51275.0,51344.0,51585.0,133,133.000 GRMS ,6841.29,182,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-31,GOLD         ,05APR2022,50906.0,51718.0,50906.0,51585.0,50953.0,130,130.000 GRMS ,6648.1,217,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-30,GOLD         ,05APR2022,50979.0,51263.0,50811.0,50953.0,50813.0,3669,3669.000 GRMS ,187260.96,1050,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-29,GOLD         ,05APR2022,51342.0,51383.0,50354.0,50813.0,51571.0,8066,8066.000 GRMS ,410562.21,2683,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-28,GOLD         ,05APR2022,51721.0,51784.0,51370.0,51571.0,51876.0,4647,4647.000 GRMS ,239571.32,5414,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-25,GOLD         ,05APR2022,52075.0,52100.0,51762.0,51876.0,52078.0,3678,3678.000 GRMS ,190977.57,6442,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-24,GOLD         ,05APR2022,51702.0,52155.0,51648.0,52078.0,51767.0,5740,5740.000 GRMS ,298028.47,6605,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-23,GOLD         ,05APR2022,51365.0,51800.0,51224.0,51767.0,51379.0,4532,4532.000 GRMS ,233496.14,6819,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-22,GOLD         ,05APR2022,51770.0,51949.0,51150.0,51379.0,51655.0,6546,6546.000 GRMS ,337256.53,7140,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-21,GOLD         ,05APR2022,51430.0,51890.0,51350.0,51655.0,51447.0,5048,5048.000 GRMS ,260222.3,7811,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-18,GOLD         ,05APR2022,51650.0,51713.0,51360.0,51447.0,51647.0,1705,1705.000 GRMS ,87860.37,8104,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-03-17,GOLD         ,05APR2022,51678.0,51837.0,51366.0,51647.0,51147.0,5864,5864.000 GRMS ,302699.99,8184,,FUTCOM,0.0,-
