__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2017-02-03,GOLD         ,03FEB2017,29025.0,29099.0,28860.0,29071.0,28981.0,81,81.000 GRMS ,2344.51,163,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-02-02,GOLD         ,03FEB2017,29065.0,29257.0,28875.0,28981.0,28870.0,289,289.000 GRMS ,8414.58,204,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-02-01,GOLD         ,03FEB2017,28873.0,29105.0,28800.0,28870.0,28942.0,1886,1886.000 GRMS ,54546.12,378,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-31,GOLD         ,03FEB2017,28570.0,28990.0,28570.0,28942.0,28524.0,6732,6732.000 GRMS ,193530.25,1528,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-30,GOLD         ,03FEB2017,28384.0,28560.0,28336.0,28524.0,28353.0,7722,7722.000 GRMS ,219492.12,3782,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-27,GOLD         ,03FEB2017,28250.0,28383.0,28085.0,28353.0,28385.0,8505,8505.000 GRMS ,239829.14,5443,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-25,GOLD         ,03FEB2017,28650.0,28650.0,28357.0,28385.0,28725.0,8413,8413.000 GRMS ,239706.06,6264,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-24,GOLD         ,03FEB2017,28801.0,28801.0,28700.0,28725.0,28803.0,6174,6174.000 GRMS ,177418.51,7171,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-23,GOLD         ,03FEB2017,28650.0,28857.0,28650.0,28803.0,28625.0,8907,8907.000 GRMS ,256392.26,7242,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-20,GOLD         ,03FEB2017,28649.0,28696.0,28533.0,28625.0,28528.0,7947,7947.000 GRMS ,227404.84,6589,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-19,GOLD         ,03FEB2017,28646.0,28646.0,28460.0,28528.0,28791.0,8966,8966.000 GRMS ,256096.09,6751,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-18,GOLD         ,03FEB2017,28738.0,28825.0,28675.0,28791.0,28738.0,7071,7071.000 GRMS ,203309.65,7118,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-17,GOLD         ,03FEB2017,28580.0,28776.0,28571.0,28738.0,28529.0,9575,9575.000 GRMS ,274796.72,7202,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-16,GOLD         ,03FEB2017,28450.0,28607.0,28450.0,28529.0,28380.0,5159,5159.000 GRMS ,147236.42,7039,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-13,GOLD         ,03FEB2017,28360.0,28440.0,28240.0,28380.0,28393.0,7982,7982.000 GRMS ,226224.29,7108,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-12,GOLD         ,03FEB2017,28350.0,28520.0,28337.0,28393.0,28300.0,9725,9725.000 GRMS ,276442.71,7283,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-11,GOLD         ,03FEB2017,28158.0,28345.0,28082.0,28300.0,28144.0,10240,10240.000 GRMS ,288899.62,7024,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-10,GOLD         ,03FEB2017,28020.0,28260.0,28009.0,28144.0,28051.0,8340,8340.000 GRMS ,234487.89,7125,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-09,GOLD         ,03FEB2017,27915.0,28080.0,27841.0,28051.0,27887.0,6607,6607.000 GRMS ,184616.37,7566,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-06,GOLD         ,03FEB2017,27892.0,27983.0,27825.0,27887.0,27948.0,7963,7963.000 GRMS ,222059.0,7148,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-05,GOLD         ,03FEB2017,27800.0,27978.0,27785.0,27948.0,27682.0,9428,9428.000 GRMS ,262877.63,7224,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-04,GOLD         ,03FEB2017,27685.0,27815.0,27657.0,27682.0,27778.0,7109,7109.000 GRMS ,197088.98,6932,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-03,GOLD         ,03FEB2017,27568.0,27823.0,27450.0,27778.0,27570.0,10700,10700.000 GRMS ,295422.75,6746,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2017-01-02,GOLD         ,03FEB2017,27401.0,27600.0,27401.0,27570.0,27445.0,2511,2511.000 GRMS ,69117.72,6758,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-12-30,GOLD         ,03FEB2017,27591.0,27634.0,27421.0,27445.0,27562.0,6147,6147.000 GRMS ,169332.41,6538,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-12-29,GOLD         ,03FEB2017,27350.0,27589.0,27320.0,27562.0,27300.0,6923,6923.000 GRMS ,190005.9,6586,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-12-28,GOLD         ,03FEB2017,27238.0,27347.0,27200.0,27300.0,27170.0,5063,5063.000 GRMS ,138118.17,6458,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-12-27,GOLD         ,03FEB2017,27120.0,27419.0,27061.0,27170.0,27037.0,7291,7291.000 GRMS ,198451.52,6424,,FUTCOM,0.0,-
