__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2016-12-05,GOLD         ,05DEC2016,28300.0,28525.0,28116.0,28330.0,28427.0,171,171.000 GRMS ,4863.14,105,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-12-02,GOLD         ,05DEC2016,28200.0,28490.0,28180.0,28427.0,27920.0,241,241.000 GRMS ,6821.46,213,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-12-01,GOLD         ,05DEC2016,28400.0,28400.0,27881.0,27920.0,28385.0,890,890.000 GRMS ,25093.56,397,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-30,GOLD         ,05DEC2016,28740.0,28740.0,28338.0,28385.0,28762.0,6637,6637.000 GRMS ,189595.48,842,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-29,GOLD         ,05DEC2016,28754.0,28800.0,28582.0,28762.0,28736.0,6320,6320.000 GRMS ,181348.94,3370,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-28,GOLD         ,05DEC2016,28702.0,28872.0,28625.0,28736.0,28598.0,6551,6551.000 GRMS ,188438.26,4652,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-25,GOLD         ,05DEC2016,28553.0,28693.0,28374.0,28598.0,28746.0,10058,10058.000 GRMS ,287075.16,5045,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-24,GOLD         ,05DEC2016,28743.0,28790.0,28630.0,28746.0,28829.0,6059,6059.000 GRMS ,173948.13,5370,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-23,GOLD         ,05DEC2016,29179.0,29225.0,28716.0,28829.0,29139.0,10998,10998.000 GRMS ,318513.35,5460,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-22,GOLD         ,05DEC2016,29178.0,29224.0,29060.0,29139.0,29135.0,5622,5622.000 GRMS ,163957.78,5685,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-21,GOLD         ,05DEC2016,29024.0,29200.0,28946.0,29135.0,28937.0,6076,6076.000 GRMS ,176677.62,5707,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-18,GOLD         ,05DEC2016,29000.0,29000.0,28800.0,28937.0,29131.0,9495,9495.000 GRMS ,274499.18,6064,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-17,GOLD         ,05DEC2016,29347.0,29390.0,29091.0,29131.0,29383.0,7920,7920.000 GRMS ,232031.06,6220,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-16,GOLD         ,05DEC2016,29371.0,29441.0,29315.0,29383.0,29320.0,7595,7595.000 GRMS ,223136.39,6370,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-15,GOLD         ,05DEC2016,29558.0,29558.0,29223.0,29320.0,29607.0,11077,11077.000 GRMS ,324842.04,6293,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-14,GOLD         ,05DEC2016,29328.0,29698.0,29281.0,29607.0,29396.0,9251,9251.000 GRMS ,272143.27,6181,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-11,GOLD         ,05DEC2016,29830.0,29957.0,29250.0,29396.0,29900.0,16849,16849.000 GRMS ,500085.79,6580,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-10,GOLD         ,05DEC2016,30053.0,30195.0,29771.0,29900.0,29877.0,14786,14786.000 GRMS ,443715.22,6168,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-09,GOLD         ,05DEC2016,30400.0,31376.0,29805.0,29877.0,29880.0,28849,28849.000 GRMS ,883075.22,6071,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-08,GOLD         ,05DEC2016,30100.0,30368.0,29731.0,29880.0,30078.0,18668,18668.000 GRMS ,560906.32,6376,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-07,GOLD         ,05DEC2016,30510.0,30510.0,30005.0,30078.0,30557.0,12605,12605.000 GRMS ,380538.91,6891,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-04,GOLD         ,05DEC2016,30430.0,30624.0,30372.0,30557.0,30487.0,12350,12350.000 GRMS ,376929.91,7067,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-03,GOLD         ,05DEC2016,30649.0,30649.0,30206.0,30487.0,30666.0,16242,16242.000 GRMS ,493888.92,6878,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-02,GOLD         ,05DEC2016,30350.0,30686.0,30350.0,30666.0,30285.0,12292,12292.000 GRMS ,374894.4,7066,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-11-01,GOLD         ,05DEC2016,30000.0,30314.0,30000.0,30285.0,29950.0,8727,8727.000 GRMS ,263397.32,6969,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-10-31,GOLD         ,05DEC2016,30010.0,30030.0,29916.0,29950.0,30057.0,3046,3046.000 GRMS ,91292.94,6847,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-10-30,GOLD         ,05DEC2016,30070.0,30070.0,30027.0,30057.0,30082.0,1321,1321.000 GRMS ,39702.42,7156,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-10-28,GOLD         ,05DEC2016,29989.0,30157.0,29720.0,30082.0,29927.0,11519,11519.000 GRMS ,344692.35,7046,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-10-27,GOLD         ,05DEC2016,29846.0,29962.0,29831.0,29927.0,29834.0,8361,8361.000 GRMS ,250021.07,7287,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-10-26,GOLD         ,05DEC2016,29980.0,30000.0,29802.0,29834.0,29942.0,10704,10704.000 GRMS ,320185.05,7637,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-10-25,GOLD         ,05DEC2016,29842.0,29982.0,29739.0,29942.0,29763.0,11644,11644.000 GRMS ,347716.03,7927,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2016-10-24,GOLD         ,05DEC2016,29905.0,29905.0,29730.0,29763.0,29946.0,16564,16564.000 GRMS ,493750.42,8027,,FUTCOM,0.0,-
