__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2014-08-05,GOLD         ,05AUG2014,27997.0,28035.0,27819.0,27931.0,27915.0,112,112.000 GRMS ,3126.25,152,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-08-04,GOLD         ,05AUG2014,28035.0,28099.0,27866.0,27915.0,28054.0,743,743.000 GRMS ,20810.25,912,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-08-01,GOLD         ,05AUG2014,27845.0,28123.0,27798.0,28054.0,27818.0,1505,1505.000 GRMS ,42061.21,1580,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-31,GOLD         ,05AUG2014,27805.0,27956.0,27752.0,27818.0,27934.0,10458,10458.000 GRMS ,291253.78,2354,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-30,GOLD         ,05AUG2014,27853.0,27979.0,27723.0,27934.0,27866.0,12485,12485.000 GRMS ,347453.62,4470,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-29,GOLD         ,05AUG2014,28000.0,28090.0,27825.0,27866.0,27926.0,8116,8116.000 GRMS ,226796.27,5088,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-28,GOLD         ,05AUG2014,28000.0,28035.0,27880.0,27926.0,27938.0,9724,9724.000 GRMS ,271688.61,5465,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-25,GOLD         ,05AUG2014,27661.0,27965.0,27651.0,27938.0,27626.0,11199,11199.000 GRMS ,310896.26,6185,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-24,GOLD         ,05AUG2014,27850.0,27850.0,27602.0,27626.0,27882.0,14827,14827.000 GRMS ,411209.47,6363,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-23,GOLD         ,05AUG2014,27924.0,27995.0,27852.0,27882.0,27895.0,12865,12865.000 GRMS ,359298.12,7259,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-22,GOLD         ,05AUG2014,28070.0,28087.0,27812.0,27895.0,28087.0,19302,19302.000 GRMS ,538943.36,7424,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-21,GOLD         ,05AUG2014,28015.0,28217.0,27983.0,28087.0,27993.0,10773,10773.000 GRMS ,302624.76,7881,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-18,GOLD         ,05AUG2014,28158.0,28179.0,27917.0,27993.0,28199.0,12642,12642.000 GRMS ,354366.8,8032,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-17,GOLD         ,05AUG2014,27745.0,28398.0,27743.0,28199.0,27676.0,24019,24019.000 GRMS ,672027.05,8517,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-16,GOLD         ,05AUG2014,27667.0,27735.0,27583.0,27676.0,27648.0,15692,15692.000 GRMS ,434047.41,8449,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-15,GOLD         ,05AUG2014,27857.0,27948.0,27587.0,27648.0,27762.0,18715,18715.000 GRMS ,520285.59,8431,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-14,GOLD         ,05AUG2014,28221.0,28304.0,27726.0,27762.0,28356.0,19027,19027.000 GRMS ,532482.68,8657,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-11,GOLD         ,05AUG2014,28528.0,28528.0,28231.0,28356.0,28496.0,15128,15128.000 GRMS ,428716.83,8847,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-10,GOLD         ,05AUG2014,27655.0,28589.0,27500.0,28496.0,27613.0,31452,31452.000 GRMS ,885208.86,9333,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-09,GOLD         ,05AUG2014,27545.0,27698.0,27544.0,27613.0,27519.0,12584,12584.000 GRMS ,347624.43,9099,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-08,GOLD         ,05AUG2014,27507.0,27629.0,27381.0,27519.0,27490.0,14508,14508.000 GRMS ,398906.62,8586,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-07,GOLD         ,05AUG2014,27482.0,27522.0,27382.0,27490.0,27557.0,9740,9740.000 GRMS ,267286.19,8687,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-04,GOLD         ,05AUG2014,27487.0,27595.0,27451.0,27557.0,27464.0,9490,9490.000 GRMS ,261203.51,8701,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-03,GOLD         ,05AUG2014,27564.0,27634.0,27363.0,27464.0,27663.0,15289,15289.000 GRMS ,420722.63,8289,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-02,GOLD         ,05AUG2014,27799.0,27800.0,27532.0,27663.0,27746.0,13619,13619.000 GRMS ,376602.16,8579,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-07-01,GOLD         ,05AUG2014,27867.0,27940.0,27730.0,27746.0,27776.0,11909,11909.000 GRMS ,331676.07,8940,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-06-30,GOLD         ,05AUG2014,27632.0,27850.0,27561.0,27776.0,27672.0,11768,11768.000 GRMS ,325375.16,8860,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2014-06-27,GOLD         ,05AUG2014,27705.0,27799.0,27605.0,27672.0,27667.0,10952,10952.000 GRMS ,303305.34,8868,,FUTCOM,0.0,-
